SiteCode;SiteName;DirectionName;LaneCode;LaneName;Date;TimeFrom;TimeTo;ValuesApproved;ValuesEdited;TrafficType;Total;DateTimeFrom;DateTimeTo;Year;Month;Day;Weekday;HourFrom;DayOfYear;Zst_id
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;05.01.2020;04:00;05:00;1;0;Velo;4;2020-01-05 04:00:00;2020-01-05 05:00:00;2020;1;5;6;4;5;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;05.01.2020;05:00;06:00;1;0;Velo;5;2020-01-05 05:00:00;2020-01-05 06:00:00;2020;1;5;6;5;5;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;05.01.2020;06:00;07:00;1;0;Velo;12;2020-01-05 06:00:00;2020-01-05 07:00:00;2020;1;5;6;6;5;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;05.01.2020;07:00;08:00;1;0;Velo;9;2020-01-05 07:00:00;2020-01-05 08:00:00;2020;1;5;6;7;5;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;05.01.2020;08:00;09:00;1;0;Velo;17;2020-01-05 08:00:00;2020-01-05 09:00:00;2020;1;5;6;8;5;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;05.01.2020;09:00;10:00;1;0;Velo;25;2020-01-05 09:00:00;2020-01-05 10:00:00;2020;1;5;6;9;5;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;05.01.2020;10:00;11:00;1;0;Velo;46;2020-01-05 10:00:00;2020-01-05 11:00:00;2020;1;5;6;10;5;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;05.01.2020;11:00;12:00;1;0;Velo;52;2020-01-05 11:00:00;2020-01-05 12:00:00;2020;1;5;6;11;5;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;05.01.2020;12:00;13:00;1;0;Velo;79;2020-01-05 12:00:00;2020-01-05 13:00:00;2020;1;5;6;12;5;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;05.01.2020;13:00;14:00;1;0;Velo;99;2020-01-05 13:00:00;2020-01-05 14:00:00;2020;1;5;6;13;5;350
